,address_full,price,count_beds,count_baths,sq_ft,days_on_zillow,address,city,state_zip,state_abrev,zip_code,date_scraped
0,"4913 Stoneyoak Ln, Raleigh, NC 27610","$550,000",4,3,"2,581",5,4913 Stoneyoak Ln, Raleigh,NC 27610,NC,27610,2022-12-03
1,"612 Peyton St, Raleigh, NC 27610","$339,775",3,2,"1,456",1,612 Peyton St, Raleigh,NC 27610,NC,27610,2022-12-03
2,"2312 K Wesley Way, Raleigh, NC 27610","$299,900",3,2,"1,101",8,2312 K Wesley Way, Raleigh,NC 27610,NC,27610,2022-12-03
3,"6104 Bayberry Ln, Raleigh, NC 27612","$535,000",4,3,"2,362",5,6104 Bayberry Ln, Raleigh,NC 27612,NC,27612,2022-12-03
4,"1713 Oberlin Rd, Raleigh, NC 27608","$475,000",2,2,990,4,1713 Oberlin Rd, Raleigh,NC 27608,NC,27608,2022-12-03
5,"501 John Haywood Way APT 101, Raleigh, NC 27604","$575,000",2,3,"1,538",D,501 John Haywood Way APT 101, Raleigh,NC 27604,NC,27604,2022-12-03
6,"1401 Coopershill Dr APT 111, Raleigh, NC 27604","$275,000",1,2,975,1,1401 Coopershill Dr APT 111, Raleigh,NC 27604,NC,27604,2022-12-03
7,"5901 Rivercliff Ct, Raleigh, NC 27610","$375,000",4,3,"2,200",6,5901 Rivercliff Ct, Raleigh,NC 27610,NC,27610,2022-12-03
8,"7513 Mine Valley Rd, Raleigh, NC 27615","$429,900",4,3,"1,616",1,7513 Mine Valley Rd, Raleigh,NC 27615,NC,27615,2022-12-03
9,"9141 Sanctuary Ct, Raleigh, NC 27617","$950,000",4,4,"5,145",2,9141 Sanctuary Ct, Raleigh,NC 27617,NC,27617,2022-12-03
10,"3223 Tabor Ct, Raleigh, NC 27604","$325,000",3,3,"1,516",1,3223 Tabor Ct, Raleigh,NC 27604,NC,27604,2022-12-03
11,"4209 Willow Lake Rd, Raleigh, NC 27616","$365,000",3,3,"1,534",2,4209 Willow Lake Rd, Raleigh,NC 27616,NC,27616,2022-12-03
12,"4713 Mial Plantation Rd, Raleigh, NC 27610","$415,000",3,3,"1,946",2,4713 Mial Plantation Rd, Raleigh,NC 27610,NC,27610,2022-12-03
13,"11241 Lofty Heights Pl, Raleigh, NC 27614","$340,000",2,2,"1,138",2,11241 Lofty Heights Pl, Raleigh,NC 27614,NC,27614,2022-12-03
14,"2231 Raven Rd UNIT 107, Raleigh, NC 27614","$285,000",3,3,"1,740",2,2231 Raven Rd UNIT 107, Raleigh,NC 27614,NC,27614,2022-12-03
15,"341 Gilman Ln UNIT 111, Raleigh, NC 27610","$280,000",3,3,"1,753",1,341 Gilman Ln UNIT 111, Raleigh,NC 27610,NC,27610,2022-12-03
16,"4332 Rockside Hills Dr, Raleigh, NC 27603","$419,500",3,2,"1,820",4,4332 Rockside Hills Dr, Raleigh,NC 27603,NC,27603,2022-12-03
17,"3100 Braddock Dr, Raleigh, NC 27612","$639,500",5,3,"3,567",3,3100 Braddock Dr, Raleigh,NC 27612,NC,27612,2022-12-03
18,"701 Lake Brandon Trl, Raleigh, NC 27610","$324,000",3,3,"1,625",1,701 Lake Brandon Trl, Raleigh,NC 27610,NC,27610,2022-12-03
19,"7408 Wilderness Rd, Raleigh, NC 27613","$549,900",4,3,"2,495",2,7408 Wilderness Rd, Raleigh,NC 27613,NC,27613,2022-12-03
20,"4608 Ryegate Dr, Raleigh, NC 27604","$359,775",4,2,"1,591",1,4608 Ryegate Dr, Raleigh,NC 27604,NC,27604,2022-12-03
21,"5804 Conly Dr, Raleigh, NC 27603","$300,000",3,2,"1,319",6,5804 Conly Dr, Raleigh,NC 27603,NC,27603,2022-12-03
22,"12521 Waterlow Park Ln, Raleigh, NC 27614","$379,900",3,3,"1,441",1,12521 Waterlow Park Ln, Raleigh,NC 27614,NC,27614,2022-12-03
23,"410 Weathergreen Dr, Raleigh, NC 27615","$390,000",4,4,"2,665",2,410 Weathergreen Dr, Raleigh,NC 27615,NC,27615,2022-12-03
24,"8967 Commons Townes Dr, Raleigh, NC 27616","$329,000",3,3,"1,407",1,8967 Commons Townes Dr, Raleigh,NC 27616,NC,27616,2022-12-03
25,"3305 Glen Currin Dr, Raleigh, NC 27612","$445,000",3,3,"1,339",2,3305 Glen Currin Dr, Raleigh,NC 27612,NC,27612,2022-12-03
26,"10316 20th Rd, Raleigh, NC 27603","$679,900",4,4,"2,840",3,10316 20th Rd, Raleigh,NC 27603,NC,27603,2022-12-03
27,"3401 Sitzman Ct, Raleigh, NC 27616","$335,000",3,3,"1,661",1,3401 Sitzman Ct, Raleigh,NC 27616,NC,27616,2022-12-03
28,"1041 Wirewood Dr APT 202, Raleigh, NC 27605","$369,900",2,2,"1,120",2,1041 Wirewood Dr APT 202, Raleigh,NC 27605,NC,27605,2022-12-03
29,"3804 Burwell Rollins Cir, Raleigh, NC 27612","$675,000",3,3,"2,860",1,3804 Burwell Rollins Cir, Raleigh,NC 27612,NC,27612,2022-12-03
30,"2308 Myron Dr APT 103, Raleigh, NC 27607","$264,775",3,2,990,1,2308 Myron Dr APT 103, Raleigh,NC 27607,NC,27607,2022-12-03
31,"825 Swan Neck Ln, Raleigh, NC 27615","$415,000",3,3,"1,800",1,825 Swan Neck Ln, Raleigh,NC 27615,NC,27615,2022-12-03
32,"2212 Anderson Dr, Raleigh, NC 27608","$1,249,000",4,3,"3,007",8,2212 Anderson Dr, Raleigh,NC 27608,NC,27608,2022-12-03
33,"5917 Meadowlark Ln, Raleigh, NC 27610","$374,900",4,2,"1,452",2,5917 Meadowlark Ln, Raleigh,NC 27610,NC,27610,2022-12-03
34,"4505 Buffaloe Rd, Raleigh, NC 27616","$290,000",3,2,"1,396",5,4505 Buffaloe Rd, Raleigh,NC 27616,NC,27616,2022-12-03
35,"1204 Aaron Dr, Raleigh, NC 27610","$307,999",3,3,"1,729",1,1204 Aaron Dr, Raleigh,NC 27610,NC,27610,2022-12-03
36,"4236 Lake Ridge Dr #0, Raleigh, NC 27604","$200,000",2,2,"1,026",2,4236 Lake Ridge Dr #0, Raleigh,NC 27604,NC,27604,2022-12-03
37,"2472 Sapphire Valley Dr, Raleigh, NC 27604","$325,000",3,3,"1,721",3,2472 Sapphire Valley Dr, Raleigh,NC 27604,NC,27604,2022-12-03
38,"1004 Trollingwood Ln, Raleigh, NC 27615","$360,000",3,2,"1,324",1,1004 Trollingwood Ln, Raleigh,NC 27615,NC,27615,2022-12-03
39,"5005 Dawn Piper Dr, Raleigh, NC 27613","$355,000",3,3,"1,382",2,5005 Dawn Piper Dr, Raleigh,NC 27613,NC,27613,2022-12-03
40,"1327 Cricket Ridge Dr, Raleigh, NC 27610","$280,000",3,3,"1,404",7,1327 Cricket Ridge Dr, Raleigh,NC 27610,NC,27610,2022-12-03
41,"1549 Village Glenn Dr, Raleigh, NC 27612","$379,900",3,3,"1,942",1,1549 Village Glenn Dr, Raleigh,NC 27612,NC,27612,2022-12-03
42,"632 Duke Dr, Raleigh, NC 27609","$499,160",3,2,"1,190",1,632 Duke Dr, Raleigh,NC 27609,NC,27609,2022-12-03
43,"101 Woods Ream Dr, Raleigh, NC 27615","$300,000",3,2,"1,554",3,101 Woods Ream Dr, Raleigh,NC 27615,NC,27615,2022-12-03
44,"2717 Peachleaf St, Raleigh, NC 27614","$625,000",4,3,"3,730",1,2717 Peachleaf St, Raleigh,NC 27614,NC,27614,2022-12-03
45,"2116 Turtle Point Dr, Raleigh, NC 27604","$269,000",3,3,"1,430",2,2116 Turtle Point Dr, Raleigh,NC 27604,NC,27604,2022-12-03
46,"7600 Birchmoor Way, Raleigh, NC 27616","$459,000",4,5,"2,828",1,7600 Birchmoor Way, Raleigh,NC 27616,NC,27616,2022-12-03
47,"4212 Timberwood Dr, Raleigh, NC 27612","$384,900",3,3,"1,503",7,4212 Timberwood Dr, Raleigh,NC 27612,NC,27612,2022-12-03
48,"4601 Landover Woods Ln, Raleigh, NC 27616","$400,000",4,3,"2,034",1,4601 Landover Woods Ln, Raleigh,NC 27616,NC,27616,2022-12-03
49,"5920 Dunbarton Way, Raleigh, NC 27613","$549,900",4,3,"2,343",3,5920 Dunbarton Way, Raleigh,NC 27613,NC,27613,2022-12-03
50,"548 Dacian Rd, Raleigh, NC 27610","$289,000",4,3,"1,592",2,548 Dacian Rd, Raleigh,NC 27610,NC,27610,2022-12-03
51,"269 Beechwood Hill Dr, Raleigh, NC 27603","$329,000",3,3,"2,313",9,269 Beechwood Hill Dr, Raleigh,NC 27603,NC,27603,2022-12-03
52,"3800 Ingram Dr, Raleigh, NC 27604","$575,000",3,3,"1,800",3,3800 Ingram Dr, Raleigh,NC 27604,NC,27604,2022-12-03
53,"105 Tall Rock Court, Raleigh, NC 27610","$257,900",2,2,938,3,105 Tall Rock Court, Raleigh,NC 27610,NC,27610,2022-12-03
54,"7112 Ray Rd, Raleigh, NC 27613","$385,000",3,2,"1,523",2,7112 Ray Rd, Raleigh,NC 27613,NC,27613,2022-12-03
55,"2108 Ramseur St, Raleigh, NC 27610","$449,900",4,3,"1,900",1,2108 Ramseur St, Raleigh,NC 27610,NC,27610,2022-12-03
56,"6236 Morning Glory Dr, Raleigh, NC 27603","$807,000",4,4,"4,000",2,6236 Morning Glory Dr, Raleigh,NC 27603,NC,27603,2022-12-03
57,"4412 Birmingham Way, Raleigh, NC 27604","$370,000",4,3,"2,192",5,4412 Birmingham Way, Raleigh,NC 27604,NC,27604,2022-12-03
58,"4504 Queen Pierrette St #21, Raleigh, NC 27610","$303,990",3,3,"1,601",2,4504 Queen Pierrette St #21, Raleigh,NC 27610,NC,27610,2022-12-03
59,"1908 Jupiter Hills Ct, Raleigh, NC 27604","$350,000",3,3,"1,558",2,1908 Jupiter Hills Ct, Raleigh,NC 27604,NC,27604,2022-12-03
60,"2203 Landings Way, Raleigh, NC 27615","$500,000",4,3,"2,385",1,2203 Landings Way, Raleigh,NC 27615,NC,27615,2022-12-03
61,"3008 Dawnbrook Dr, Raleigh, NC 27604","$415,000",4,3,"2,775",9,3008 Dawnbrook Dr, Raleigh,NC 27604,NC,27604,2022-12-03
62,"3127 Briar Stream Run, Raleigh, NC 27612","$899,900",4,4,"3,453",3,3127 Briar Stream Run, Raleigh,NC 27612,NC,27612,2022-12-03
63,"8500 Flying Buttress Dr, Raleigh, NC 27613","$394,000",2,3,"1,605",1,8500 Flying Buttress Dr, Raleigh,NC 27613,NC,27613,2022-12-03
64,"4001 Blackard Pond Rd, Raleigh, NC 27604","$349,900",3,2,"1,925",1,4001 Blackard Pond Rd, Raleigh,NC 27604,NC,27604,2022-12-03
65,"2613 Elmhurst Cir, Raleigh, NC 27610","$272,500",3,1,"1,064",1,2613 Elmhurst Cir, Raleigh,NC 27610,NC,27610,2022-12-03
66,"10340 Grafton Rd, Raleigh, NC 27615","$1,795,000",5,6,"4,536",2,10340 Grafton Rd, Raleigh,NC 27615,NC,27615,2022-12-03
67,"5915 Kayton St, Raleigh, NC 27616","$415,000",4,4,"2,374",1,5915 Kayton St, Raleigh,NC 27616,NC,27616,2022-12-03
68,"3528 Dewing Dr, Raleigh, NC 27616","$410,000",4,3,"2,977",6,3528 Dewing Dr, Raleigh,NC 27616,NC,27616,2022-12-03
69,"4216 Loon Ln, Raleigh, NC 27616","$328,000",3,3,"1,581",2,4216 Loon Ln, Raleigh,NC 27616,NC,27616,2022-12-03
70,"2112 Leadenhall Way, Raleigh, NC 27603","$399,900",3,3,"1,516",3,2112 Leadenhall Way, Raleigh,NC 27603,NC,27603,2022-12-03
71,"204 Rattan Bay Dr, Raleigh, NC 27610","$290,000",3,2,"1,300",4,204 Rattan Bay Dr, Raleigh,NC 27610,NC,27610,2022-12-03
72,"426 Chavis Way, Raleigh, NC 27601","$759,000",2,4,"1,878",2,426 Chavis Way, Raleigh,NC 27601,NC,27601,2022-12-03
73,"4105 Crowfield Dr, Raleigh, NC 27610","$329,000",4,3,"1,786",3,4105 Crowfield Dr, Raleigh,NC 27610,NC,27610,2022-12-03
74,"500 Trunecek Cir, Raleigh, NC 27603","$450,000",3,2,"2,445",9,500 Trunecek Cir, Raleigh,NC 27603,NC,27603,2022-12-03
75,"609 Jordan Ridge Ln, Raleigh, NC 27603","$388,000",3,3,"2,031",5,609 Jordan Ridge Ln, Raleigh,NC 27603,NC,27603,2022-12-03
76,"7309 Massachusetts Ct, Raleigh, NC 27615","$389,900",3,3,"1,750",1,7309 Massachusetts Ct, Raleigh,NC 27615,NC,27615,2022-12-03
77,"1616 Wynne Trace Ct, Raleigh, NC 27603","$725,000",5,4,"4,336",5,1616 Wynne Trace Ct, Raleigh,NC 27603,NC,27603,2022-12-03
78,"612 Poplar Springs Church Rd, Raleigh, NC 27603","$389,000",3,2,"1,874",7,612 Poplar Springs Church Rd, Raleigh,NC 27603,NC,27603,2022-12-03
79,"2419 Britt Dr, Raleigh, NC 27610","$399,900",3,2,"2,290",5,2419 Britt Dr, Raleigh,NC 27610,NC,27610,2022-12-03
80,"601 Okelly St, Raleigh, NC 27607","$275,000",3,2,"1,222",1,601 Okelly St, Raleigh,NC 27607,NC,27607,2022-12-03
